farm_id,region,crop_type,soil_moisture_%,soil_pH,temperature_C,rainfall_mm,humidity_%,sunlight_hours,irrigation_type,fertilizer_type,pesticide_usage_ml,sowing_date,harvest_date,total_days,yield_kg_per_hectare,sensor_id,timestamp,latitude,longitude,NDVI_index,crop_disease_status,Water_Needed,Heat_Stress,Soil_Health,Water_Amount_Liters,Recommended_Fertilizer,Irrigation_Time,Rain_Impact,Farm_Efficiency
FARM00001,South India,Cotton,33.22,5.92,29.83,168.46,65.52,5.89,,Mixed,7.9,2024-01-20,2024-05-21,122.89,4807.06,SEN00001,2024-01-01 00:00:00,31.67,75.83,0.75,Severe,0,Low,Average,20,Lime+Organic,Evening,High,Good
FARM00002,South India,Soybean,16.77,5.51,28.87,202.71,44.4,6.81,Manual,Inorganic,36.62,2024-01-25,2024-06-19,153.07,4270.69,SEN00002,2024-01-01 01:00:00,31.58,87.69,0.75,,1,Low,Poor,30,Lime+Organic,Evening,High,Average
FARM00003,East Africa,Soybean,44.94,6.1,27.26,256.52,80.19,7.23,Manual,Mixed,48.09,2024-01-07,2024-06-02,153.69,5614.84,SEN00003,2024-01-01 02:00:00,11.87,88.02,0.4,,0,Low,Average,10,NPK,Evening,High,Good
FARM00004,Central USA,Cotton,15.45,7.03,27.82,118.25,60.76,7.32,,Inorganic,24.52,2024-03-08,2024-07-30,145.34,5752.79,SEN00004,2024-01-01 03:00:00,29.19,72.66,0.35,Mild,1,Low,Poor,30,NPK,Evening,High,Average
FARM00005,Central USA,Wheat,21.38,5.82,25.79,286.35,62.34,7.6,Sprinkler,Organic,15.69,2024-01-07,2024-04-26,106.68,4117.02,SEN00005,2024-01-01 04:00:00,25.4,75.9,0.64,Moderate,1,Low,Poor,20,Lime+Organic,Evening,High,Average
FARM00006,South India,Rice,43.11,7.95,24.94,244.37,88.52,6.63,,Inorganic,13.07,2024-02-03,2024-06-06,119.75,3622.97,SEN00006,2024-01-01 05:00:00,12.77,81.42,0.58,Moderate,0,Low,Average,10,Organic Compost,Evening,High,Average
FARM00007,Central USA,Cotton,39.68,6.81,25.82,120.05,51.8,9.25,,Mixed,51.6,2024-01-22,2024-06-15,145.27,4117.17,SEN00007,2024-01-01 06:00:00,11.35,80.59,0.67,Severe,1,Low,Average,10,Bio-Fertilizer,Evening,High,Good
FARM00008,South USA,Soybean,14.02,6.91,19.47,97.02,61.7,7.21,Sprinkler,Organic,14.16,2024-01-27,2024-04-30,93.1,4009.49,SEN00008,2024-01-01 07:00:00,33.86,77.65,0.69,Mild,1,Low,Poor,30,Organic Compost,Afternoon,High,Average
FARM00009,Central USA,Soybean,30.06,6.99,24.01,119.06,84.01,10.44,Manual,Mixed,13.2,2024-03-16,2024-07-04,113.28,4170.34,SEN00009,2024-01-01 08:00:00,33.46,86.02,0.44,,1,Low,Average,20,NPK,Evening,High,Average
FARM00010,North India,Soybean,33.66,4.96,17.22,262.72,89.33,4.71,Manual,Inorganic,38.57,2024-02-21,2024-05-26,103.86,5581.53,SEN00010,2024-01-01 09:00:00,31.44,77.57,0.49,Severe,0,Low,Average,20,Lime+Organic,Afternoon,High,Good
FARM00011,East Africa,Cotton,10.04,6.04,24.63,224.0,77.11,6.18,Sprinkler,Inorganic,23.17,2024-03-07,2024-07-10,126.9,4590.88,SEN00011,2024-01-01 10:00:00,23.06,74.65,0.45,Severe,1,Low,Poor,30,Bio-Fertilizer,Evening,High,Average
FARM00012,South India,Cotton,41.78,5.32,28.49,131.41,75.92,10.68,Sprinkler,Mixed,35.22,2024-01-05,2024-04-16,98.86,3770.66,SEN00012,2024-01-01 11:00:00,16.24,87.24,0.9,Moderate,0,Low,Average,10,Lime+Organic,Evening,High,Good
FARM00013,South USA,Cotton,13.09,7.02,21.91,273.74,73.74,3.48,,Inorganic,12.19,2024-01-20,2024-05-02,96.97,6028.8,SEN00013,2024-01-01 12:00:00,28.2,73.96,0.38,Mild,1,Low,Poor,30,NPK,Evening,High,Average
FARM00014,South India,Cotton,27.47,6.27,25.69,237.87,84.42,3.57,Manual,Mixed,32.47,2024-03-22,2024-07-15,114.57,5353.97,SEN00014,2024-01-01 13:00:00,13.26,70.4,0.34,,1,Low,Poor,20,NPK,Evening,High,Average
FARM00015,East Africa,Cotton,21.52,7.31,20.28,124.12,42.96,9.36,Manual,Mixed,23.89,2024-03-28,2024-06-28,93.56,6019.26,SEN00015,2024-01-01 14:00:00,29.55,71.16,0.93,Moderate,1,Low,Poor,20,Organic Compost,Evening,High,Good
FARM00016,South India,Maize,44.86,7.23,14.82,72.85,56.04,9.14,Manual,Organic,0.92,2024-03-04,2024-06-30,113.37,3209.87,SEN00016,2024-01-01 15:00:00,10.23,76.9,0.42,Mild,0,Low,Average,10,NPK,Afternoon,High,Average
